SQL, 2, Del, Table2B, 100, 1, True, 3.7004995346069336, 3.694295883178711, 0.19883853661892645, 2020-03-31_225059
SQL, 2, Ins, Table2A, 100, 5, True, 3.937544822692871, 3.7413835525512695, 0.809172064611567, 2020-03-31_225100
SQL, 2, Ins, Table2B, 100, 5, True, 3.6489295959472656, 3.6690235137939453, 0.18609180010257484, 2020-03-31_225100
SQL, 2, Upd, Table2A, 100, 5, True, 3.855280876159668, 3.837108612060547, 0.3831769533343592, 2020-03-31_225101
SQL, 2, Upd, Table2B, 100, 5, True, 3.9159035682678223, 3.80098819732666, 0.9148988493459445, 2020-03-31_225101
SQL, 2, Del, Table2A, 100, 5, True, 3.774247169494629, 3.76129150390625, 0.26518172989356026, 2020-03-31_225101
SQL, 2, Del, Table2B, 100, 5, True, 3.8588380813598633, 3.7682056427001953, 0.36578126339530315, 2020-03-31_225101
SQL, 2, Ins, Table2A, 100, 10, True, 3.725292682647705, 3.688931465148926, 0.2968780062958286, 2020-03-31_225102
SQL, 2, Ins, Table2B, 100, 10, True, 3.7601494789123535, 3.716588020324707, 0.28099788000254633, 2020-03-31_225102
SQL, 2, Upd, Table2A, 100, 10, True, 3.8462328910827637, 3.8306713104248047, 0.192450569398149, 2020-03-31_225103
SQL, 2, Upd, Table2B, 100, 10, True, 3.7601399421691895, 3.757476806640625, 0.2090044759530272, 2020-03-31_225103
SQL, 2, Del, Table2A, 100, 10, True, 3.667569160461426, 3.680706024169922, 0.17154964101079562, 2020-03-31_225103
SQL, 2, Del, Table2B, 100, 10, True, 3.7194204330444336, 3.6994218826293945, 0.20982399049052552, 2020-03-31_225103
AS, 3, Ins, TableC, 100, 1, True, 3.5248565673828125, 3.154873847961426, 1.253317207465207, 2020-03-31_225104
AS, 3, Ins, TableC, 100, 1, False, 1.0375261306762695, 0.9893178939819336, 0.17558551977638284, 2020-03-31_225105
AS, 3, Del, TableC, 100, 1, False, 1.1145353317260742, 0.9981393814086914, 0.2966455936585049, 2020-03-31_225105
AS, 3, Del, TableA, 100, 1, False, 1.102147102355957, 1.001596450805664, 0.27575244478963784, 2020-03-31_225105
AS, 3, Del, TableB, 100, 1, False, 1.0499238967895508, 1.0008811950683594, 0.1858502606283872, 2020-03-31_225105
AS, 3, Del, TableC, 100, 1, True, 4.311108589172363, 4.175424575805664, 0.563758610546676, 2020-03-31_225106
AS, 3, Del, TableA, 100, 1, True, 1.0727214813232422, 1.0044574737548828, 0.2564604262848952, 2020-03-31_225106
AS, 3, Del, TableB, 100, 1, True, 1.0639190673828125, 1.0162591934204102, 0.1938238579675707, 2020-03-31_225106
AS, 3, Ins, TableC, 100, 5, True, 4.4175028800964355, 4.366397857666016, 1.0568423735329053, 2020-03-31_225107
AS, 3, Ins, TableC, 100, 5, False, 1.1239123344421387, 1.0647773742675781, 0.22789455033298348, 2020-03-31_225108
AS, 3, Del, TableC, 100, 5, False, 1.1310625076293945, 1.0448694229125977, 0.34095151634258014, 2020-03-31_225108
AS, 3, Del, TableA, 100, 5, False, 1.1107444763183594, 1.0426044464111328, 0.25625526543429644, 2020-03-31_225108
AS, 3, Del, TableB, 100, 5, False, 1.1544609069824219, 1.052260398864746, 0.3076125019976397, 2020-03-31_225108
AS, 3, Del, TableC, 100, 5, True, 4.616680145263672, 4.407525062561035, 0.5207949847838316, 2020-03-31_225109
AS, 3, Del, TableA, 100, 5, True, 1.1514520645141602, 1.0251998901367188, 0.3252021079135767, 2020-03-31_225109
AS, 3, Del, TableB, 100, 5, True, 1.0994529724121094, 1.0160207748413086, 0.28517961593988417, 2020-03-31_225109
AS, 3, Ins, TableC, 100, 10, True, 4.934370517730713, 4.651904106140137, 1.1110348992116523, 2020-03-31_225110
AS, 3, Ins, TableC, 100, 10, False, 1.1793971061706543, 1.0340213775634766, 0.538370783330993, 2020-03-31_225111
